2024-10-30 19:45:47,571 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 905.17}
2024-10-30 19:45:52,580 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 705.09}
2024-10-30 19:45:57,590 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 645.6}
2024-10-30 19:46:02,598 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 979.2}
2024-10-30 19:46:07,622 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 27.05}
2024-10-30 19:46:12,639 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 560.63}
2024-10-30 19:46:49,546 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 269.41}
2024-10-30 19:46:54,550 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 440.46}
2024-10-30 19:46:59,560 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 150.24}
2024-11-03 12:35:17,092 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 310.46}
2024-11-03 12:35:22,095 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 280.81}
2024-11-03 12:35:27,104 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 455.9}
2024-11-03 12:35:32,116 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 559.81}
2024-11-03 12:35:37,128 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 786.58}
2024-11-03 12:35:42,146 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 974.07}
2024-11-03 12:35:47,169 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 994.42}
2024-11-03 17:34:18,672 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 115.93}
2024-11-03 17:34:23,685 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 698.32}
2024-11-03 17:34:28,704 - Sensor_PRESS_002 - INFO - Sensor ID: PRESS_002, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 516.11}
