2024-10-30 19:45:47,571 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 15.44}
2024-10-30 19:45:52,574 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 20.62}
2024-10-30 19:45:57,584 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 10.44}
2024-10-30 19:46:02,595 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 44.61}
2024-10-30 19:46:07,612 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 1.06}
2024-10-30 19:46:12,639 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 34.1}
2024-10-30 19:46:49,546 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 27.1}
2024-10-30 19:46:54,550 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 24.46}
2024-10-30 19:46:59,558 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 12.22}
2024-11-03 12:35:17,091 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 46.45}
2024-11-03 12:35:22,095 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 41.49}
2024-11-03 12:35:27,099 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 3.5}
2024-11-03 12:35:32,116 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 13.58}
2024-11-03 12:35:37,128 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 42.42}
2024-11-03 12:35:42,146 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 35.16}
2024-11-03 12:35:47,165 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 42.95}
2024-11-03 17:34:18,671 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 33.23}
2024-11-03 17:34:23,683 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 17.1}
2024-11-03 17:34:28,704 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 26.81}
2024-11-03 18:18:07,397 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 16.48}
2024-11-03 18:18:12,407 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 23.45}
2024-11-03 18:18:17,423 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 25.49}
2024-11-03 18:18:22,442 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 17.84}
2024-11-03 18:18:27,459 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 2.88}
2024-11-03 18:18:32,468 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 17.32}
2024-11-03 18:18:37,476 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 14.47}
2024-11-03 18:18:42,489 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 38.56}
2024-11-03 18:18:47,502 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 36.68}
2024-11-03 18:18:52,517 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 37.39}
2024-11-03 18:18:57,534 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 37.02}
2024-11-03 18:19:02,554 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 2.08}
2024-11-03 18:19:07,578 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 36.73}
2024-11-03 18:19:12,589 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 21.44}
2024-11-03 18:19:17,597 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 6.75}
2024-11-03 18:19:22,614 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 30.61}
2024-11-03 18:19:27,624 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 23.76}
2024-11-03 18:19:32,643 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 28.35}
2024-11-03 18:19:37,666 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 34.7}
2024-11-03 18:19:42,684 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 34.36}
2024-11-03 18:19:47,689 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 13.13}
2024-11-03 18:19:52,698 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 39.83}
2024-11-03 18:19:57,717 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 24.74}
2024-11-03 18:20:02,733 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 1.87}
2024-11-03 18:20:07,750 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 13.59}
2024-11-03 18:20:12,758 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 23.37}
2024-11-03 18:20:17,783 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 49.77}
2024-11-03 18:20:22,794 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 46.38}
2024-11-03 18:20:27,804 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 1.86}
2024-11-03 18:20:32,820 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 0.33}
2024-11-03 18:20:37,837 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 40.62}
