2024-11-03 12:35:17,093 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 7.37}
2024-11-03 12:35:22,095 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 87.32}
2024-11-03 12:35:27,106 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 22.61}
2024-11-03 12:35:32,122 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 37.49}
2024-11-03 12:35:37,140 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 59.25}
2024-11-03 12:35:42,158 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 58.82}
2024-11-03 12:35:47,174 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Fault, Data: {'humidity': 18.49}
2024-11-03 17:34:18,672 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 82.65}
2024-11-03 17:34:23,690 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 10.31}
2024-11-03 17:34:28,711 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 98.18}
2024-11-03 18:18:07,399 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 16.08}
2024-11-03 18:18:12,409 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 8.3}
2024-11-03 18:18:17,427 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 69.43}
2024-11-03 18:18:22,446 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 1.5}
2024-11-03 18:18:27,461 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 48.93}
2024-11-03 18:18:32,473 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 2.23}
2024-11-03 18:18:37,478 - Sensor_HUMID_001 - INFO - Sensor ID: HUMID_001, Sensor Type: Humidity, Status: Warning, Data: {'humidity': 90.38}
